"sanders_preference","party","race_white","gender","birthyr"
1,1,1,1,1960
0,2,1,2,1957
1,3,1,1,1963
1,1,1,1,1980
1,2,1,1,1974
1,2,1,1,1958
1,1,1,1,1978
1,3,1,1,1951
1,2,1,1,1973
1,1,1,1,1936
1,3,1,1,1978
0,2,1,2,1943
1,1,1,1,1936
1,3,1,2,1938
0,3,1,2,1956
1,2,0,1,1984
0,1,1,1,1981
1,1,1,2,1945
0,2,1,1,1961
0,1,1,2,1958
0,1,1,2,1950
1,3,1,1,1955
1,2,1,1,1954
1,1,1,2,1945
1,1,1,1,1978
0,2,1,1,1981
0,3,1,2,1949
1,1,1,2,1944
1,1,1,2,1955
0,1,1,2,1951
0,3,1,2,1994
1,1,1,1,1950
0,2,1,1,1953
1,3,1,2,1971
0,1,1,1,1967
1,1,1,1,1945
0,1,1,2,1948
1,2,1,1,1976
1,2,1,1,1955
0,3,1,2,1957
0,1,1,1,1953
0,1,1,2,1973
0,2,1,1,1944
0,1,1,1,1956
0,1,1,1,1949
1,2,1,1,1962
0,1,1,2,1952
1,1,0,1,1972
1,1,1,2,1960
1,2,1,1,1978
0,1,1,2,1976
1,1,1,1,1977
1,3,1,1,1940
0,1,0,2,1983
1,3,1,2,1978
1,2,0,1,1978
1,2,1,1,1974
0,2,1,2,1973
1,2,1,1,1970
1,3,1,1,1977
0,3,1,1,1962
1,3,1,2,1989
1,1,1,2,1960
1,2,1,1,1968
0,1,0,1,1969
1,2,1,1,1984
1,1,0,1,1958
1,1,1,1,1936
1,2,1,1,1967
0,2,1,1,1974
1,2,1,2,1964
1,2,1,1,1959
1,1,1,1,1956
1,2,1,1,1942
0,2,1,2,1938
0,2,1,1,1953
0,1,1,2,1936
1,2,1,1,1961
0,3,1,1,1953
1,2,1,1,1961
1,2,1,2,1947
0,2,0,2,1973
0,1,0,2,1952
1,1,0,2,1964
1,3,1,1,1954
1,3,1,2,1967
1,1,1,1,1963
0,2,0,2,1986
1,2,1,2,1946
1,2,1,1,1969
1,1,1,2,1986
0,1,1,1,1956
1,2,1,2,1953
1,1,1,2,1940
1,1,1,1,1951
1,2,1,2,1973
0,3,1,2,1933
1,2,1,1,1960
0,2,1,2,1968
1,2,1,1,1943
1,2,1,1,1937
0,3,1,1,1962
0,1,1,1,1962
0,1,0,2,1944
1,2,1,1,1977
1,2,0,2,1991
0,2,1,1,1965
0,1,1,2,1943
0,1,1,1,1955
1,3,1,2,1954
1,3,1,1,1931
0,1,1,1,1953
1,2,1,1,1949
1,3,1,2,1932
0,1,1,2,1973
0,2,1,2,1973
1,2,1,1,1972
1,1,1,1,1961
1,2,1,1,1964
1,1,1,1,1952
1,2,1,2,1972
1,2,1,2,1947
0,1,0,1,1945
0,3,1,2,1963
1,2,1,1,1952
1,1,1,2,1961
0,1,1,2,1939
1,2,1,1,1937
1,3,1,1,1954
0,1,1,2,1966
1,1,0,2,1975
0,3,1,1,1957
1,2,1,1,1958
1,3,1,2,1959
0,1,0,1,1962
0,1,1,2,1941
0,3,1,2,1941
1,3,1,2,1950
1,1,0,1,1938
1,1,1,1,1960
1,1,0,1,1978
1,2,1,2,1948
0,1,1,1,1959
0,1,0,1,1961
0,2,1,2,1956
1,3,1,1,1977
0,1,0,1,1959
1,3,1,2,1955
1,3,1,1,1982
1,1,1,1,1965
1,2,1,2,1975
1,3,1,2,1964
0,3,1,1,1953
1,3,1,2,1950
1,3,1,2,1955
0,2,1,1,1972
0,1,0,1,1955
1,3,1,1,1964
1,2,1,1,1958
1,1,1,1,1953
0,3,1,2,1942
1,2,1,2,1950
0,1,0,2,1964
0,1,1,1,1946
1,1,0,2,1972
1,3,1,1,1938
1,3,1,1,1954
1,2,1,2,1954
1,2,1,1,1990
1,1,0,2,1981
0,2,1,1,1950
0,2,1,2,1980
1,1,1,2,1940
0,3,1,1,1936
1,1,0,2,1961
1,3,1,2,1986
1,2,1,1,1954
1,3,1,1,1959
1,3,1,2,1959
0,1,1,2,1968
1,2,1,1,1946
1,3,1,2,1932
0,3,1,2,1957
1,1,0,2,1955
1,2,1,1,1979
0,1,1,2,1975
1,1,1,2,1956
1,3,1,1,1973
1,2,1,2,1953
1,2,1,2,1980
0,2,1,2,1952
1,1,1,1,1974
0,3,1,2,1957
0,2,1,1,1982
1,2,0,2,1961
0,3,1,1,1925
1,3,1,1,1980
1,2,1,1,1952
1,1,1,2,1984
0,3,1,2,1960
1,3,1,1,1937
0,1,1,1,1978
1,1,1,2,1961
1,1,0,1,1954
0,3,1,2,1960
1,1,1,2,1952
0,1,0,2,1941
1,2,1,1,1941
1,2,1,2,1961
0,3,1,1,1989
0,2,1,1,1967
1,3,1,2,1962
1,2,0,1,1976
0,1,1,2,1955
1,2,1,1,1959
1,2,1,2,1956
1,2,1,2,1951
1,2,1,2,1947
1,3,1,1,1947
0,3,1,2,1984
1,3,1,2,1939
1,2,1,2,1978
1,2,1,2,1932
0,1,1,2,1973
0,1,1,2,1955
1,3,1,2,1970
1,2,1,1,1942
1,3,1,2,1960
1,1,1,2,1958
1,2,1,1,1946
1,1,1,2,1972
1,2,1,1,1972
1,2,1,2,1988
1,2,1,1,1963
1,1,1,1,1965
1,1,1,1,1988
0,1,1,1,1948
1,2,1,1,1976
0,3,0,1,1977
1,3,1,2,1954
0,1,0,2,1955
1,2,1,2,1977
1,2,1,2,1963
1,3,1,1,1983
1,3,1,2,1976
1,1,1,2,1964
0,1,1,2,1959
0,2,1,1,1977
0,1,1,1,1975
0,3,1,1,1953
0,3,1,1,1966
0,1,1,2,1956
1,3,1,1,1956
1,2,1,2,1933
0,1,1,2,1954
0,1,1,2,1939
0,3,0,1,1958
1,1,1,2,1957
1,1,1,2,1988
0,2,0,1,1954
1,3,1,1,1956
0,2,0,1,1941
1,2,1,2,1938
1,3,1,1,1936
1,2,1,1,1957
0,2,1,1,1967
0,1,0,1,1956
1,1,1,2,1933
1,2,1,1,1996
1,1,1,1,1955
1,2,1,2,1952
1,3,1,2,1975
1,2,0,1,1988
0,2,1,1,1957
0,1,0,2,1947
1,3,1,1,1959
1,1,1,2,1946
1,1,1,2,1977
1,2,0,1,1958
0,2,1,1,1956
1,2,1,2,1952
0,3,1,2,1955
0,1,1,1,1949
0,1,0,1,1954
1,3,1,1,1951
0,2,1,2,1956
0,1,0,1,1961
1,1,1,2,1943
1,2,1,2,1961
0,1,1,2,1940
0,1,0,1,1986
0,3,0,1,1980
1,1,1,2,1947
0,2,1,2,1965
1,2,1,1,1954
1,2,1,2,1961
0,1,1,2,1951
1,3,1,1,1965
1,1,1,2,1950
1,2,1,2,1964
1,1,0,2,1943
0,3,0,2,1969
1,3,1,2,1943
1,3,1,2,1957
0,1,1,2,1961
0,1,1,2,1945
0,2,0,2,1955
1,2,0,2,1963
0,2,1,1,1976
1,2,0,2,1983
1,2,1,1,1954
1,3,1,2,1926
0,1,1,2,1972
1,3,1,1,1965
0,1,1,2,1955
0,2,1,2,1947
